g_name	taxon_assignmentID	bh_evalue	fasta_header
FUN_07853	1520881	8.869999999999999e-287	FUN_07853-T1
FUN_07854	1520881	2.0399999999999998e-136	FUN_07854-T1
FUN_07855	1520881	1.14e-217	FUN_07855-T1
FUN_07856			FUN_07856-T1
FUN_07857	1520881	7.22e-313	FUN_07857-T1
FUN_07858	1520881	4.64e-24	FUN_07858-T1
FUN_07859	1520881	3.2900000000000003e-35	FUN_07859-T1
FUN_07860	716546	1.55e-10	FUN_07860-T1
FUN_07861	1520881	5.5300000000000005e-173	FUN_07861-T1
FUN_07862	5598	0.000504	FUN_07862-T1
FUN_07863	716546	1.0400000000000002e-27	FUN_07863-T1
FUN_07865	147541	2.47e-24	FUN_07865-T1
FUN_07866	1520881	3.45e-53	FUN_07866-T1
FUN_07867	2707338	1.24e-05	FUN_07867-T1
FUN_07868	1520881	2.66e-84	FUN_07868-T1
FUN_07869	716546	4.97e-05	FUN_07869-T1
FUN_07870	451868	0.0	FUN_07870-T1
FUN_07871	1520881	1.07e-13	FUN_07871-T1
FUN_07872			FUN_07872-T1
FUN_07873			FUN_07873-T1
FUN_07874	716546	4.03e-17	FUN_07874-T1
FUN_07875	116794	1.75e-34	FUN_07875-T1
FUN_07876	1520881	0.0	FUN_07876-T1
FUN_07877	1520881	3.3e-121	FUN_07877-T1
FUN_07878	1520881	1.2299999999999999e-69	FUN_07878-T1
FUN_07879	716546	1.76e-38	FUN_07879-T1
FUN_07880	196765	1.1500000000000001e-129	FUN_07880-T1
FUN_07881	716546	2.3e-113	FUN_07881-T1
FUN_07882	1520881	0.0	FUN_07882-T1
FUN_07883	1520881	0.0	FUN_07883-T1
FUN_07884	1520881	8.140000000000001e-213	FUN_07884-T1
FUN_07885	716546	2.21e-59	FUN_07885-T1
FUN_07886	716546	1.77e-07	FUN_07886-T1
FUN_07887	1048955	1.05e-05	FUN_07887-T1
FUN_07888	716546	3.2e-69	FUN_07888-T1
FUN_07889	1520881	1.24e-86	FUN_07889-T1
FUN_07890			FUN_07890-T1
FUN_07891	1520881	3.8300000000000003e-265	FUN_07891-T1
FUN_07892	147541	1.1400000000000001e-79	FUN_07892-T1
FUN_07893	1520881	3.42e-110	FUN_07893-T1
FUN_07894	716546	1.2199999999999999e-196	FUN_07894-T1
FUN_07895	1520881	1.1e-18	FUN_07895-T1
FUN_07896	716546	1.45e-109	FUN_07896-T1
FUN_07897	1520881	3.1899999999999998e-115	FUN_07897-T1
FUN_07898	388435	6.350000000000001e-272	FUN_07898-T1
FUN_07899	388435	2.1e-152	FUN_07899-T1
FUN_07900	1520881	4.62e-31	FUN_07900-T1
FUN_07901	1520881	2.8899999999999997e-299	FUN_07901-T1
FUN_07902	1520881	5.7100000000000004e-291	FUN_07902-T1
FUN_07903	1520881	3.21e-198	FUN_07903-T1
FUN_07904	388435	4.32e-135	FUN_07904-T1
FUN_07905	1520881	2.98e-96	FUN_07905-T1
FUN_07906	1520881	2.42e-102	FUN_07906-T1
FUN_07907	716546	1.05e-120	FUN_07907-T1
FUN_07908	716546	2.87e-10	FUN_07908-T1
FUN_07909	1520881	4.3500000000000004e-110	FUN_07909-T1
FUN_07910	1520881	4.9300000000000004e-32	FUN_07910-T1
FUN_07911	1520881	0.0	FUN_07911-T1
FUN_07912	1520881	3.54e-52	FUN_07912-T1
FUN_07913	78060	1.8999999999999998e-98	FUN_07913-T1
FUN_07914	1520881	1.98e-195	FUN_07914-T1
FUN_07915	112416	5.1600000000000006e-192	FUN_07915-T1
FUN_07916	388435	9.12e-254	FUN_07916-T1
FUN_07917	1520881	3.57e-214	FUN_07917-T1
FUN_07918	1520881	2.93e-57	FUN_07918-T1
FUN_07919	1520881	0.0	FUN_07919-T1
FUN_07920	388435	4.37e-269	FUN_07920-T1
FUN_07921	388435	3.38e-206	FUN_07921-T1
FUN_07922	1520881	3.42e-120	FUN_07922-T1
FUN_07923	1903189	2.35e-11	FUN_07923-T1
FUN_07924	716546	1.5299999999999998e-42	FUN_07924-T1
FUN_07925	147545	2.08e-38	FUN_07925-T1
FUN_07926			FUN_07926-T1
FUN_07927	1520881	8.42e-160	FUN_07927-T1
FUN_07928	1520881	6.51e-221	FUN_07928-T1
FUN_07929	1520881	6.2e-159	FUN_07929-T1
FUN_07930	1520881	2.2900000000000003e-132	FUN_07930-T1
FUN_07931	716546	0.000376	FUN_07931-T1
FUN_07932	716546	1.63e-31	FUN_07932-T1
FUN_07933	1520881	2.88e-76	FUN_07933-T1
FUN_07934	716546	4.12e-300	FUN_07934-T1
FUN_07935	2608996	5.66e-14	FUN_07935-T1
FUN_07936	78060	5.05e-14	FUN_07936-T1
FUN_07937	78060	1.43e-51	FUN_07937-T1
FUN_07938	1520881	7.12e-65	FUN_07938-T1
FUN_07939	1520881	1.32e-97	FUN_07939-T1
FUN_07940			FUN_07940-T1
FUN_07941	2608996	5.98e-12	FUN_07941-T1
FUN_07942	1048519	1.55e-221	FUN_07942-T1
FUN_07943	1520881	2.3900000000000002e-276	FUN_07943-T1
FUN_07944	1520881	1.3199999999999998e-89	FUN_07944-T1
FUN_07945	388435	1.4e-106	FUN_07945-T1
FUN_07946	1520881	5.89e-197	FUN_07946-T1
FUN_07947	1520881	8.28e-254	FUN_07947-T1
FUN_07948			FUN_07948-T1
FUN_07949	1448308	5.2899999999999994e-48	FUN_07949-T1
FUN_07950	1520881	1.44e-71	FUN_07950-T1
FUN_07951	1520881	3.11e-41	FUN_07951-T1
FUN_07952	1520881	8.11e-149	FUN_07952-T1
FUN_07953	716546	1.91e-142	FUN_07953-T1
FUN_07954	112416	9.83e-234	FUN_07954-T1
FUN_07955	78060	1.89e-12	FUN_07955-T1
FUN_07956	716546	2.69e-34	FUN_07956-T1
FUN_07957			FUN_07957-T1
FUN_07958	1520881	4.36e-24	FUN_07958-T1
FUN_07959	1520881	5.48e-168	FUN_07959-T1
FUN_07960			FUN_07960-T1
FUN_07961	1520881	4.32e-07	FUN_07961-T1
FUN_07962			FUN_07962-T1
FUN_07963			FUN_07963-T1
FUN_07964	116794	1.8e-08	FUN_07964-T1
FUN_07965	388435	3.03e-38	FUN_07965-T1
FUN_07966	388435	6.9e-168	FUN_07966-T1
FUN_07967	1520881	5.3e-45	FUN_07967-T1
FUN_07968	1520881	7.62e-156	FUN_07968-T1
FUN_07969	388435	1.34e-135	FUN_07969-T1
FUN_07970	716546	3.3e-128	FUN_07970-T1
FUN_07971	1520881	5.78e-63	FUN_07971-T1
FUN_07972	1940652	4.19e-41	FUN_07972-T1
FUN_07973	1520881	1.55e-32	FUN_07973-T1
FUN_07974	1520881	3.7300000000000004e-99	FUN_07974-T1
FUN_07975	1520881	3.18e-180	FUN_07975-T1
FUN_07976	34368	3.51e-132	FUN_07976-T1
FUN_07977	1520881	1.8200000000000002e-103	FUN_07977-T1
FUN_07978			FUN_07978-T1
FUN_07979	50934	1.5400000000000002e-70	FUN_07979-T1
FUN_07980	1520881	2.0099999999999997e-126	FUN_07980-T1
FUN_07981	1520881	5.860000000000001e-281	FUN_07981-T1
FUN_07982	78060	0.0	FUN_07982-T1
FUN_07983	147541	1.28e-53	FUN_07983-T1
FUN_07984	1520881	2.84e-64	FUN_07984-T1
FUN_07985			FUN_07985-T1
FUN_07986	716546	4.49e-67	FUN_07986-T1
FUN_07987	716546	1.3300000000000001e-273	FUN_07987-T1
FUN_07988	388435	2.03e-113	FUN_07988-T1
FUN_07989	1520881	2.31e-127	FUN_07989-T1
FUN_07990	716546	1.7300000000000001e-164	FUN_07990-T1
FUN_07991	388435	0.0	FUN_07991-T1
FUN_07992	716546	4.79e-66	FUN_07992-T1
FUN_07993	1520881	1.55e-291	FUN_07993-T1
FUN_07994	388435	8.27e-56	FUN_07994-T1
FUN_07995	112416	1.56e-10	FUN_07995-T1
FUN_07996			FUN_07996-T1
FUN_07997	1520881	0.0	FUN_07997-T1
FUN_07998			FUN_07998-T1
FUN_07999			FUN_07999-T1
FUN_08000	78060	0.0	FUN_08000-T1
FUN_08001	1520881	0.0	FUN_08001-T1
FUN_08002	1520881	1.2e-97	FUN_08002-T1
FUN_08003	78060	7.82e-34	FUN_08003-T1
FUN_08004	388435	3.55e-102	FUN_08004-T1
FUN_08005	1520881	7.76e-38	FUN_08005-T1
FUN_08006	388435	1.11e-313	FUN_08006-T1
FUN_08007	1520881	1.02e-197	FUN_08007-T1
FUN_08008	78060	1.11e-27	FUN_08008-T1
FUN_08009	1520881	2.57e-94	FUN_08009-T1
FUN_08010	1520881	1.6700000000000001e-121	FUN_08010-T1
FUN_08011	265104	2.1699999999999997e-24	FUN_08011-T1
FUN_08012	306901	1.75e-49	FUN_08012-T1
FUN_08013			FUN_08013-T1
FUN_08014	50934	5.12e-83	FUN_08014-T1
FUN_08015	1520881	1.33e-52	FUN_08015-T1
FUN_08016	1520881	3.17e-179	FUN_08016-T1
FUN_08017	1520881	3.41e-213	FUN_08017-T1
FUN_08018	1520881	4.3e-282	FUN_08018-T1
FUN_08019	78060	8.25e-122	FUN_08019-T1
FUN_08020	1520881	0.0	FUN_08020-T1
FUN_08021	78060	1.87e-22	FUN_08021-T1
FUN_08022	1520881	7.27e-43	FUN_08022-T1
FUN_08023	1520881	5.52e-86	FUN_08023-T1
FUN_08024	560253	5.03e-65	FUN_08024-T1
FUN_08025			FUN_08025-T1
FUN_08026	1520881	1.2100000000000001e-210	FUN_08026-T1
FUN_08027	1520881	4.94e-67	FUN_08027-T1
FUN_08028	78060	2.7999999999999997e-228	FUN_08028-T1
FUN_08029	1520881	5.7900000000000005e-105	FUN_08029-T1
FUN_08030	1520881	7.2599999999999995e-233	FUN_08030-T1
FUN_08031			FUN_08031-T1
FUN_08032	716546	9.46e-220	FUN_08032-T1
FUN_08033			FUN_08033-T1
FUN_08034			FUN_08034-T1
FUN_08035	1520881	0.0	FUN_08035-T1
FUN_08036	1520881	3.11e-240	FUN_08036-T1
FUN_08037	1520881	5.1100000000000004e-269	FUN_08037-T1
FUN_08038	1520881	1.97e-303	FUN_08038-T1
FUN_08039	716546	1.41e-08	FUN_08039-T1
FUN_08040	1520881	4.0699999999999997e-165	FUN_08040-T1
FUN_08041	147541	3.93e-62	FUN_08041-T1
FUN_08042			FUN_08042-T1
FUN_08043	1520881	2.62e-149	FUN_08043-T1
FUN_08044	364733	3.06e-20	FUN_08044-T1
FUN_08045			FUN_08045-T1
FUN_08046	1520881	7.67e-82	FUN_08046-T1
FUN_08047	1520881	2.32e-84	FUN_08047-T1
FUN_08048	716546	2.5800000000000003e-164	FUN_08048-T1
FUN_08049	1520881	2.5e-118	FUN_08049-T1
FUN_08050	78060	2.27e-52	FUN_08050-T1
FUN_08051	1520881	9.28e-283	FUN_08051-T1
FUN_08052			FUN_08052-T1
FUN_08053			FUN_08053-T1
FUN_08054			FUN_08054-T1
FUN_08055			FUN_08055-T1
FUN_08056	112416	1.13e-233	FUN_08056-T1
FUN_08057			FUN_08057-T1
